,importance-1,importance-2,importance-3,importance-4,importance-5,average
contrast-6,0.022388633,0.12383297,0.09586006,0.0,0.0,0.048416335
homogeneity-2,0.0,0.0,0.119142786,0.0,0.0,0.023828557
mean-2,0.092830054,0.0,0.061362967,0.11884979,0.019844737,0.058577508
correlation-1,0.0,0.10738147,0.055151336,0.0,0.0,0.032506563
ASM-7,0.10187906,0.0,0.0,0.0,0.15472758,0.051321328
contrast-1,0.0,0.0,0.0,0.0,0.022956429,0.0045912857
correlation-3,0.0,0.07309567,0.05145186,0.0,0.0,0.024909507
ASM-2,0.10055656,0.0,0.07506018,0.0,0.10853047,0.05682944
contrast-4,0.13148095,0.12201585,0.06699676,0.0,0.077877305,0.07967417
contrast-3,0.030411774,0.13724475,0.06787008,0.14917356,0.124866985,0.10191343
contrast-7,0.16536081,0.14845236,0.09262603,0.18138853,0.11009612,0.13958475
skewness-7,0.0,0.0,0.062112126,0.16889839,0.134062,0.073014505
correlation-6,0.11723206,0.16195339,0.0883792,0.14159252,0.108221255,0.123475686
homogeneity-3,0.10716807,0.0,0.07155871,0.12971406,0.0,0.061688166
index,0.13069203,0.12602346,0.09242784,0.11038317,0.13881722,0.119668745
