,loss,accuracy,auc_14,val_loss,val_accuracy,val_auc_14,lr
0,0.8085485696792603,0.550000011920929,0.6115288138389587,0.5595871925354003,0.675000011920929,0.7431318759918213,1e-05
1,0.6285565137863159,0.7250000238418579,0.7133838534355164,0.539765739440918,0.6499999761581421,0.791208803653717,1e-05
2,0.5341504335403442,0.675000011920929,0.692307710647583,0.782885092496872,0.42500001192092896,0.5961538553237915,1e-05
3,0.7170269727706909,0.6499999761581421,0.625,0.6995667576789856,0.44999998807907104,0.6538461446762085,1e-05
4,0.40242077112197877,0.800000011920929,0.8637500405311584,0.5110696196556092,0.6499999761581421,0.7870879173278809,1e-05
5,0.4759643852710724,0.75,0.8017676472663879,0.46205471754074096,0.699999988079071,0.7994506359100342,1e-05
6,0.32589261829853056,0.875,0.8925831317901611,0.457052206993103,0.7250000238418579,0.8021978139877319,1e-05
7,0.3633339494466782,0.875,0.9134615063667297,0.46385382413864135,0.699999988079071,0.8104395866394043,1e-05
8,0.30682072043418884,0.8999999761581421,0.9040403366088867,0.5418505251407624,0.6499999761581421,0.7609890103340149,1e-05
9,0.31317784637212753,0.8500000238418579,0.8849104642868042,0.8607203006744385,0.44999998807907104,0.6538461446762085,1e-05
10,0.4611712217330933,0.800000011920929,0.8374999761581421,0.720312625169754,0.574999988079071,0.692307710647583,1e-05
11,0.33221014142036437,0.824999988079071,0.8325001001358032,0.4487562358379364,0.699999988079071,0.7857143878936768,1e-05
12,0.26583092212677,0.949999988079071,0.9799498915672302,0.4270757377147675,0.7250000238418579,0.7939561009407043,1e-05
13,0.27026000469923017,0.8999999761581421,0.9515669941902161,0.5831443309783936,0.625,0.7472527623176575,1e-05
14,0.4999697461724281,0.75,0.6744791269302368,0.8249637544155121,0.550000011920929,0.692307710647583,1e-05
15,0.24851307570934295,0.8500000238418579,0.91796875,0.5640107959508895,0.625,0.75,1e-05
16,0.21365195214748384,0.949999988079071,0.969924807548523,0.4422253042459488,0.7250000238418579,0.8186813592910767,1e-05
17,0.20302997529506683,0.925000011920929,0.9711779356002808,0.4330210745334625,0.675000011920929,0.8159341216087341,1e-05
18,0.4038377940654755,0.824999988079071,0.8459596037864685,0.44331094622612,0.699999988079071,0.8379120826721191,1e-05
19,0.2611949652433395,0.8999999761581421,0.9103534817695618,0.5014781296253205,0.6499999761581421,0.7884615659713745,1e-05
