epoch,accuracy,auc,f1_m,loss,recall,specificity,val_accuracy,val_auc,val_f1_m,val_loss,val_recall,val_specificity
0,0.4392857253551483,0.478790283203125,0.4637373685836792,74.66240626743861,0.36231884360313416,0.46942153573036194,0.25,0.6299999952316284,0.0,74.48558654785157,0.0,0.450110524892807
1,0.4714285731315613,0.5099328756332397,0.4915427565574646,74.49435076032366,0.406862735748291,0.5209352970123291,0.375,0.7514880895614624,0.19047614932060242,74.30105743408203,0.1071428582072258,0.5414473414421082
2,0.5035714507102966,0.5534716844558716,0.5433654189109802,74.29967978341239,0.4653465449810028,0.4677370488643646,0.625,0.832288384437561,0.6609523296356201,74.13485565185547,0.5517241358757019,0.5255163311958313
3,0.574999988079071,0.5645365715026855,0.6412702798843384,74.09813537597657,0.5961538553237915,0.5073981881141663,0.699999988079071,0.7742946743965149,0.7889976501464844,73.9825225830078,0.7586206793785095,0.5000559091567993
4,0.5785714387893677,0.5617259740829468,0.6745034456253052,73.93405957903181,0.6470588445663452,0.41095781326293945,0.699999988079071,0.7131661176681519,0.8057941198348999,73.8272933959961,0.9655172228813171,0.3816702365875244
5,0.6214285492897034,0.586758017539978,0.6906798481941223,73.7881849016462,0.6570048332214355,0.4799381196498871,0.699999988079071,0.7915359735488892,0.821977972984314,73.67253875732422,0.9655172228813171,0.4618547558784485
6,0.5607143044471741,0.5316047668457031,0.661905825138092,73.67891278948103,0.6274510025978088,0.43108177185058594,0.75,0.7949999570846558,0.8495238423347473,73.51377410888672,1.0,0.4479237496852875
7,0.6214285492897034,0.5870004892349243,0.7167941331863403,73.46885746547154,0.7081339955329895,0.4026026725769043,0.699999988079071,0.7485119104385376,0.8143590092658997,73.37858123779297,1.0,0.43435725569725037
8,0.6607142686843872,0.6155449748039246,0.7569953203201294,73.30168958391462,0.7632850408554077,0.3943357467651367,0.699999988079071,0.819940447807312,0.8196336627006531,73.22633819580078,1.0,0.427278995513916
9,0.6428571343421936,0.5951314568519592,0.7449003458023071,73.1712659563337,0.7536945939064026,0.40129902958869934,0.7250000238418579,0.7789968252182007,0.8300366401672363,73.07567443847657,1.0,0.34087589383125305
10,0.6607142686843872,0.5763682126998901,0.7543631792068481,73.02013397216797,0.7922705411911011,0.35497617721557617,0.675000011920929,0.7749288082122803,0.7961904406547546,72.94664306640625,1.0,0.42010578513145447
11,0.6535714268684387,0.6142286062240601,0.7560855746269226,72.87757001604352,0.779411792755127,0.41723957657814026,0.7250000238418579,0.9043886661529541,0.8319414258003235,72.77259063720703,1.0,0.42267632484436035
12,0.6821428537368774,0.6176793575286865,0.7760533094406128,72.74321964808873,0.7990196347236633,0.3796342611312866,0.7749999761581421,0.8351254463195801,0.8676922917366028,72.60997772216797,1.0,0.4045373797416687
13,0.7107142806053162,0.6628939509391785,0.8069843053817749,72.54808894566128,0.8557692170143127,0.3784312605857849,0.699999988079071,0.9270833134651184,0.8196336627006531,72.49094848632812,1.0,0.4078727662563324
14,0.6571428775787354,0.5608764290809631,0.7602748870849609,72.47940891810826,0.7815533876419067,0.3699241280555725,0.7250000238418579,0.8840125799179077,0.834871768951416,72.33795318603515,1.0,0.4012331962585449
15,0.7071428298950195,0.5758987069129944,0.8037297129631042,72.30890611921038,0.8543689250946045,0.3006238043308258,0.7250000238418579,0.9357367157936096,0.8319413065910339,72.18078918457032,1.0,0.4052174687385559
16,0.6678571701049805,0.5908617973327637,0.7661371231079102,72.16981746128627,0.8243902325630188,0.3268831968307495,0.699999988079071,0.8794642686843872,0.821977972984314,72.06414794921875,1.0,0.3909280300140381
17,0.6964285969734192,0.6071544885635376,0.7981939911842346,72.00763288225447,0.8731707334518433,0.34383365511894226,0.75,0.9199999570846558,0.8362704515457153,71.881396484375,1.0,0.3273735046386719
18,0.7071428298950195,0.6175633668899536,0.8011711239814758,71.86341683523996,0.8695651888847351,0.32804927229881287,0.75,0.8550000190734863,0.8495238423347473,71.74981384277343,1.0,0.38604170083999634
19,0.7250000238418579,0.6627641916275024,0.8183440566062927,71.69663718087332,0.8926829099655151,0.36479222774505615,0.75,0.8299999833106995,0.8547984957695007,71.60688934326171,1.0,0.3728676438331604
20,0.6928571462631226,0.5697886347770691,0.7971426844596863,71.61612461635045,0.8731707334518433,0.2977662682533264,0.699999988079071,0.8392857313156128,0.8196336627006531,71.49439544677735,1.0,0.37529456615448
21,0.6928571462631226,0.6394156217575073,0.787685751914978,71.43638153076172,0.8676470518112183,0.3303743898868561,0.699999988079071,0.7604166865348816,0.816703200340271,71.36562957763672,1.0,0.37891995906829834
22,0.7071428298950195,0.6545578241348267,0.8129735589027405,71.26375296456473,0.8714285492897034,0.3577204644680023,0.699999988079071,0.8184524178504944,0.8143590092658997,71.22124786376953,1.0,0.3703911304473877
23,0.699999988079071,0.6753520965576172,0.7894320487976074,71.14904174804687,0.8542713522911072,0.3869733512401581,0.699999988079071,0.7961309552192688,0.8196336627006531,71.07889404296876,1.0,0.3835046887397766
24,0.6857143044471741,0.6458174586296082,0.7807828187942505,71.0242898123605,0.8415841460227966,0.3711784780025482,0.75,0.7833333611488342,0.8452747464179993,70.91096496582031,1.0,0.31056731939315796
25,0.7250000238418579,0.6905896663665771,0.81793212890625,70.83394143240793,0.8937197923660278,0.36485132575035095,0.7250000238418579,0.9090908765792847,0.8372160792350769,70.7595703125,1.0,0.3921719193458557
26,0.7178571224212646,0.6617921590805054,0.8130516409873962,70.71848536900112,0.879807710647583,0.32515743374824524,0.675000011920929,0.8361823558807373,0.8014651536941528,70.66397247314453,1.0,0.37171465158462524
