,loss,accuracy,auc,f1_m,recall,specificity,val_loss,val_accuracy,val_auc,val_f1_m,val_recall,val_specificity,lr
0,72.98736724853515,0.574999988079071,0.4732142984867096,0.6805194616317749,0.75,0.3350674510002136,72.84356536865235,0.75,0.8016666173934937,0.8547984957695007,1.0,0.34491080045700073,2.5e-06
1,72.80067901611328,0.800000011920929,0.7742946147918701,0.8657342791557312,0.8965517282485962,0.48145538568496704,72.82447509765625,0.75,0.75,0.8524541854858398,1.0,0.34222176671028137,2.5e-06
2,72.86958618164063,0.699999988079071,0.47265625,0.8119414448738098,0.84375,0.300451397895813,72.80538482666016,0.75,0.7300000190734863,0.8471795320510864,1.0,0.34709474444389343,2.5e-06
3,72.7258071899414,0.800000011920929,0.8016666173934937,0.8666666746139526,0.9333333373069763,0.4229368567466736,72.76310882568359,0.7749999761581421,0.8189963102340698,0.8605128526687622,1.0,0.2786870300769806,2.5e-06
4,72.7875473022461,0.625,0.7179487347602844,0.731046736240387,0.8518518805503845,0.38184642791748047,72.79097137451171,0.699999988079071,0.75,0.8124542236328125,1.0,0.27848243713378906,2.5e-06
5,72.85386505126954,0.699999988079071,0.4780564308166504,0.7945454716682434,0.8965517282485962,0.3263954818248749,72.7563980102539,0.7250000238418579,0.771159827709198,0.8372160792350769,1.0,0.3399023413658142,2.5e-06
6,72.85601196289062,0.675000011920929,0.4266666769981384,0.7828571200370789,0.8666666746139526,0.30461493134498596,72.73502502441406,0.7250000238418579,0.8322884440422058,0.8372160792350769,1.0,0.3416370749473572,2.5e-06
7,72.68319549560547,0.7250000238418579,0.6272401213645935,0.8288244009017944,0.9032257795333862,0.2411762773990631,72.68261413574218,0.7749999761581421,0.6971325874328613,0.8657875061035156,1.0,0.26465272903442383,2.5e-06
8,72.64328155517578,0.7749999761581421,0.721666693687439,0.8584615588188171,0.9666666388511658,0.42558997869491577,72.67413024902343,0.75,0.7583333253860474,0.8452747464179993,1.0,0.26964494585990906,2.5e-06
9,72.69067840576172,0.699999988079071,0.5985662937164307,0.821977972984314,0.9032257795333862,0.29817137122154236,72.67770233154297,0.7250000238418579,0.7460814714431763,0.8372160792350769,1.0,0.3299499452114105,2.5e-06
10,72.67670288085938,0.7250000238418579,0.6739811897277832,0.8324542045593262,0.9655172228813171,0.3152438700199127,72.68184356689453,0.699999988079071,0.6577380895614624,0.8124542236328125,1.0,0.26172348856925964,2.5e-06
11,72.73528900146485,0.625,0.6039999723434448,0.7286080121994019,0.8399999737739563,0.3653090298175812,72.64360961914062,0.7250000238418579,0.6253918409347534,0.8372160792350769,1.0,0.3282775282859802,2.5e-06
12,72.63650360107422,0.6499999761581421,0.692307710647583,0.7754911184310913,0.9259259104728699,0.34985852241516113,72.58050537109375,0.7749999761581421,0.7293906211853027,0.8700366020202637,1.0,0.3362533450126648,2.5e-06
13,72.56902923583985,0.7250000238418579,0.5906862616539001,0.82293701171875,0.8529411554336548,0.26633185148239136,72.58196258544922,0.7250000238418579,0.8448275923728943,0.8372160792350769,1.0,0.34916597604751587,2.5e-06
14,72.67439270019531,0.625,0.45698922872543335,0.7524474859237671,0.7419354915618896,0.30724650621414185,72.56809844970704,0.7250000238418579,0.8134796619415283,0.8372160792350769,1.0,0.33358559012413025,2.5e-06
15,72.60326538085937,0.699999988079071,0.5438871383666992,0.8088244199752808,0.8965517282485962,0.26030704379081726,72.56918029785156,0.699999988079071,0.8169642686843872,0.8124542236328125,1.0,0.26755473017692566,2.5e-06
16,72.57489013671875,0.625,0.6623932123184204,0.7512820363044739,0.8518518805503845,0.4728817939758301,72.52229614257813,0.7250000238418579,0.8557993769645691,0.8372160792350769,1.0,0.33861619234085083,2.5e-06
17,72.48932037353515,0.7749999761581421,0.7241379022598267,0.8514286279678345,1.0,0.29659873247146606,72.50679016113281,0.7250000238418579,0.8213165998458862,0.8372160792350769,1.0,0.3387988209724426,2.5e-06
18,72.46035461425781,0.699999988079071,0.7383332848548889,0.8119414448738098,0.8999999761581421,0.3679569363594055,72.46120910644531,0.7749999761581421,0.7562724351882935,0.8657875061035156,1.0,0.2608991265296936,2.5e-06
19,72.57354431152343,0.675000011920929,0.4811912178993225,0.76666659116745,0.8965517282485962,0.19626840949058533,72.47607116699218,0.7250000238418579,0.7351096868515015,0.8329669833183289,1.0,0.26153403520584106,2.5e-06
20,72.401123046875,0.75,0.7433333396911621,0.845787525177002,0.9666666388511658,0.29211634397506714,72.46094360351563,0.699999988079071,0.8883929252624512,0.8143590092658997,1.0,0.3458103537559509,2.5e-06
21,72.48660583496094,0.675000011920929,0.537617564201355,0.7859674096107483,0.8620689511299133,0.2805732786655426,72.45338897705078,0.699999988079071,0.7678571939468384,0.8196336627006531,1.0,0.33036789298057556,2.5e-06
22,72.42428894042969,0.75,0.630094051361084,0.8413186073303223,0.931034505367279,0.3362666070461273,72.45340270996094,0.6499999761581421,0.9217032790184021,0.7748783826828003,1.0,0.34450003504753113,2.5e-06
23,72.40393676757813,0.75,0.6083333492279053,0.8386080861091614,0.8999999761581421,0.2707686424255371,72.3637451171875,0.75,0.8416666984558105,0.8405194282531738,1.0,0.33792614936828613,2.5e-06
24,72.42755126953125,0.699999988079071,0.5611284971237183,0.8091908693313599,0.8965517282485962,0.37183427810668945,72.3299575805664,0.7749999761581421,0.7616487741470337,0.8657875061035156,1.0,0.2626938819885254,2.5e-06
25,72.34074401855469,0.7749999761581421,0.555555522441864,0.85999995470047,0.9677419066429138,0.22755146026611328,72.34905395507812,0.7250000238418579,0.7648902535438538,0.8342857360839844,1.0,0.32932406663894653,2.5e-06
26,72.3793716430664,0.699999988079071,0.6130952835083008,0.7993073463439941,0.9642857313156128,0.2977439761161804,72.34277038574218,0.699999988079071,0.7857142686843872,0.8167033195495605,1.0,0.3333258628845215,2.5e-06
27,72.33168334960938,0.675000011920929,0.6536049842834473,0.7835496664047241,0.8965517282485962,0.26808756589889526,72.3042236328125,0.7250000238418579,0.7554858922958374,0.8372160792350769,1.0,0.3409914970397949,2.5e-06
28,72.38771209716796,0.625,0.6222527027130127,0.747179388999939,0.8461538553237915,0.3454517424106598,72.2655242919922,0.75,0.7666666507720947,0.8547984957695007,1.0,0.33771589398384094,2.5e-06
29,72.26082611083984,0.7250000238418579,0.5949820876121521,0.8372160792350769,0.9354838728904724,0.3032757341861725,72.24397735595703,0.75,0.7966666221618652,0.8471795320510864,1.0,0.3489069640636444,2.5e-06
