epoch,accuracy,auc_4,f1_m,loss,recall_4,specificity,val_accuracy,val_auc_4,val_f1_m,val_loss,val_recall_4,val_specificity
0,0.5087500214576721,0.503768801689148,0.5397988557815552,74.68410232543945,0.6284289360046387,0.4450182020664215,0.6499999761581421,0.5,0.761025607585907,74.35579986572266,1.0,0.43888431787490845
1,0.5387499928474426,0.5342355966567993,0.5675735473632812,74.23577072143554,0.6446078419685364,0.4663301706314087,0.6499999761581421,0.5439560413360596,0.761025607585907,73.94626159667969,1.0,0.4514356553554535
2,0.5074999928474426,0.49663984775543213,0.5118306875228882,73.86340759277344,0.5913705825805664,0.45226210355758667,0.675000011920929,0.5728021860122681,0.7738461494445801,73.54311065673828,1.0,0.467947393655777
3,0.5512499809265137,0.5617343187332153,0.5463722348213196,73.41447769165039,0.6039119958877563,0.5033272504806519,0.675000011920929,0.5906593799591064,0.7738461494445801,73.13883514404297,1.0,0.47106441855430603
4,0.5562499761581421,0.56645667552948,0.5526359677314758,72.99590652465821,0.6134663224220276,0.49810436367988586,0.699999988079071,0.5947802066802979,0.7827350497245789,72.73763275146484,1.0,0.4770733714103699
5,0.5550000071525574,0.5968121886253357,0.5453354120254517,72.57392242431641,0.6272965669631958,0.5138272047042847,0.5249999761581421,0.5892857313156128,0.5871794819831848,72.34750671386719,0.692307710647583,0.4953179955482483
6,0.5712500214576721,0.6065356731414795,0.5338048338890076,72.17091735839844,0.5767326951026917,0.5271831750869751,0.6000000238418579,0.603022038936615,0.637395977973938,71.94718475341797,0.7692307829856873,0.4956967234611511
7,0.5487499833106995,0.5633096694946289,0.5337038636207581,71.8022329711914,0.5465686321258545,0.5258840918540955,0.6000000238418579,0.6140110492706299,0.6610256433486938,71.54210510253907,0.8461538553237915,0.4872358441352844
8,0.5475000143051147,0.5715508460998535,0.5187005996704102,71.39972312927246,0.5465995073318481,0.528361976146698,0.625,0.6346153616905212,0.6738461256027222,71.14408721923829,0.8461538553237915,0.48931509256362915
9,0.574999988079071,0.6155678033828735,0.5747499465942383,70.97169471740723,0.6287128925323486,0.5250853896141052,0.625,0.6703296899795532,0.6738461256027222,70.74956359863282,0.8461538553237915,0.494393527507782
10,0.5924999713897705,0.6307443380355835,0.5525116920471191,70.5726789855957,0.5891472697257996,0.5422589182853699,0.625,0.6881868243217468,0.6659673452377319,70.35397644042969,0.807692289352417,0.4980145990848541
11,0.6262500286102295,0.6839443445205688,0.5927872061729431,70.1465828704834,0.6053268909454346,0.5816258788108826,0.6499999761581421,0.7005494236946106,0.7238461375236511,69.95420684814454,0.8846153616905212,0.49229344725608826
12,0.6462500095367432,0.689713716506958,0.6341630816459656,69.74680389404297,0.6807979941368103,0.5608231425285339,0.675000011920929,0.7032966613769531,0.7231101989746094,69.5634994506836,0.8461538553237915,0.5003073811531067
13,0.643750011920929,0.6826170682907104,0.612476110458374,69.3655061340332,0.6368159055709839,0.573708176612854,0.699999988079071,0.7252746820449829,0.7443222999572754,69.1677474975586,0.8846153616905212,0.5002894401550293
14,0.6524999737739563,0.702690064907074,0.608304500579834,68.96893661499024,0.6393861770629883,0.5795677304267883,0.675000011920929,0.7527472972869873,0.7147185802459717,68.77894439697266,0.807692289352417,0.5148242712020874
15,0.6787499785423279,0.7358983159065247,0.671349287033081,68.5559878540039,0.6859903335571289,0.5971985459327698,0.7250000238418579,0.7692307829856873,0.7571428418159485,68.38431854248047,0.8846153616905212,0.516464114189148
16,0.6800000071525574,0.7432024478912354,0.6431119441986084,68.17088577270508,0.6767676472663879,0.6104136109352112,0.75,0.7870879173278809,0.7750915288925171,67.99217987060547,0.9230769276618958,0.5242332816123962
17,0.6912500262260437,0.7659737467765808,0.6560057997703552,67.76756164550781,0.6855670213699341,0.6204137206077576,0.75,0.8008241653442383,0.7750915288925171,67.60203399658204,0.9230769276618958,0.5404559373855591
18,0.6650000214576721,0.7641150951385498,0.6435489654541016,67.39446144104004,0.6463414430618286,0.6357504725456238,0.7749999761581421,0.8269230723381042,0.8179486989974976,67.20883331298828,0.9615384340286255,0.5435712933540344
19,0.7325000166893005,0.8052546381950378,0.7069764137268066,66.98559623718262,0.7270471453666687,0.6445186138153076,0.800000011920929,0.8406593203544617,0.8322343826293945,66.818115234375,0.9615384340286255,0.5516265630722046
20,0.706250011920929,0.7882225513458252,0.6944519281387329,66.6207283782959,0.747474730014801,0.6213561296463013,0.7749999761581421,0.8461538553237915,0.7846153974533081,66.43236236572265,0.9230769276618958,0.5728306174278259
21,0.7200000286102295,0.8103470802307129,0.7016251087188721,66.22165824890136,0.699284017086029,0.6523955464363098,0.800000011920929,0.8530219793319702,0.8322343826293945,66.04386444091797,0.9615384340286255,0.5754677057266235
22,0.7549999952316284,0.8435724377632141,0.7306138873100281,65.81475875854493,0.7369726896286011,0.6812683939933777,0.800000011920929,0.8543956279754639,0.8322343826293945,65.66178283691406,0.9615384340286255,0.5934589505195618
23,0.7787500023841858,0.8504605293273926,0.7364897131919861,65.43442924499512,0.7763158082962036,0.6823672652244568,0.800000011920929,0.8598901033401489,0.7997668981552124,65.28140716552734,0.9230769276618958,0.6120699644088745
24,0.7987499833106995,0.8669291734695435,0.7887926697731018,65.05194389343262,0.7850467562675476,0.7158568501472473,0.800000011920929,0.8516483306884766,0.8322343826293945,64.89750213623047,0.9615384340286255,0.6068788170814514
25,0.7712500095367432,0.8594278693199158,0.7406951785087585,64.68211791992188,0.7931936979293823,0.6954098343849182,0.800000011920929,0.8626373410224915,0.7969696521759033,64.52484130859375,0.8846153616905212,0.6360666155815125
