epoch,final_activation_mask1_accuracy,final_activation_mask1_loss,final_activation_mask2_accuracy,final_activation_mask2_loss,loss,score_accuracy,score_auc_1,score_f1_m,score_loss,val_final_activation_mask1_accuracy,val_final_activation_mask1_loss,val_final_activation_mask2_accuracy,val_final_activation_mask2_loss,val_loss,val_score_accuracy,val_score_auc_1,val_score_f1_m,val_score_loss
0,0.6392857432365417,0.6758520007133484,0.5607143044471741,0.7374281883239746,1.0333928891590662,0.5178571343421936,0.5546360015869141,0.4579988121986389,0.6998241543769836,0.6499999761581421,0.6561153531074524,0.6499999761581421,0.6681684851646423,0.982456648349762,0.6499999761581421,0.557692289352417,0.761025607585907,0.6715522408485413
1,0.6785714030265808,0.6088853478431702,0.7357142567634583,0.5670227408409119,0.8893162727355957,0.6642857193946838,0.731183648109436,0.6613495349884033,0.6040586233139038,0.6499999761581421,0.6474500298500061,0.6499999761581421,0.6573923826217651,0.9672459959983826,0.6499999761581421,0.5521978139877319,0.761025607585907,0.6789323687553406
2,0.75,0.5194908976554871,0.7178571224212646,0.5555931329727173,0.7069599245275769,0.7821428775787354,0.8709067106246948,0.7886373400688171,0.4504842162132263,0.6499999761581421,0.6598007678985596,0.6499999761581421,0.6479963064193726,0.9594661474227906,0.6499999761581421,0.6153846383094788,0.761025607585907,0.6884969472885132
3,0.8142856955528259,0.3820672333240509,0.8035714030265808,0.43825727701187134,0.5956408334629876,0.8142856955528259,0.9016257524490356,0.7743083238601685,0.38234981894493103,0.6499999761581421,0.6637365818023682,0.6499999761581421,0.6511915326118469,1.030447793006897,0.3499999940395355,0.5686813592910767,0.0,0.7764833569526672
4,0.8678571581840515,0.3394119441509247,0.8785714507102966,0.31798240542411804,0.47801228633948734,0.8892857432365417,0.9472286701202393,0.8727086782455444,0.29648733139038086,0.6499999761581421,0.7009989023208618,0.6499999761581421,0.6681461334228516,0.9935930371284485,0.3499999940395355,0.6043956279754639,0.0,0.746618390083313
5,0.875,0.31776711344718933,0.8821428418159485,0.3140401542186737,0.43007153017180305,0.8999999761581421,0.9598214030265808,0.8748769760131836,0.26230916380882263,0.6499999761581421,0.7243660688400269,0.6499999761581421,0.6958757638931274,0.9811282992362976,0.3499999940395355,0.615384578704834,0.0,0.7406371831893921
6,0.8964285850524902,0.2984231412410736,0.875,0.24984076619148254,0.3845777945859092,0.8999999761581421,0.9665050506591797,0.903003454208374,0.23628616333007812,0.6499999761581421,0.7469233274459839,0.6499999761581421,0.7199581861495972,0.9470390200614929,0.3499999940395355,0.6332417726516724,0.0,0.7112990617752075
7,0.8607142567634583,0.3205181956291199,0.6892856955528259,0.6497814059257507,0.49108781431402476,0.8678571581840515,0.9437471032142639,0.8595007658004761,0.3092431128025055,0.6499999761581421,0.752774178981781,0.6499999761581421,0.7002567052841187,0.8789732336997986,0.6499999761581421,0.557692289352417,0.761025607585907,0.6540787816047668
8,0.9178571701049805,0.23127003014087677,0.4821428656578064,0.7421863079071045,0.4152225290025984,0.9107142686843872,0.9641634821891785,0.9007894992828369,0.24219956994056702,0.6499999761581421,0.7557652592658997,0.6499999761581421,0.651708722114563,0.8625640392303466,0.6499999761581421,0.6016483306884766,0.761025607585907,0.6489046812057495
9,0.925000011920929,0.2278265357017517,0.5071428418159485,0.7049415707588196,0.37547296583652495,0.9178571701049805,0.9723923206329346,0.9002990126609802,0.21220268309116364,0.6499999761581421,0.7740329504013062,0.6499999761581421,0.6488602757453918,0.8535283446311951,0.6499999761581421,0.6030219793319702,0.761025607585907,0.6449238061904907
