epoch,accuracy,auc_1,f1_m,loss,precision,recall,val_accuracy,val_auc_1,val_f1_m,val_loss,val_precision,val_recall
0,0.47857141494750977,0.49294623732566833,0.3387981355190277,74.41140638078961,0.44117647409439087,0.33582088351249695,0.6000000238418579,0.5859375,0.0,74.27750549316406,0.0,0.0
1,0.5107142925262451,0.49147728085517883,0.43888479471206665,74.26641758510044,0.4806201457977295,0.469696968793869,0.6000000238418579,0.6236978769302368,0.0,74.1302001953125,0.0,0.0
2,0.5249999761581421,0.5176600217819214,0.40811797976493835,74.10880083356585,0.4811320900917053,0.39534884691238403,0.6000000238418579,0.6575521230697632,0.0,73.98270568847656,0.0,0.0
0,0.4928571283817291,0.5240416526794434,0.3831064999103546,75.03841334751674,0.3426573574542999,0.557296872138977,0.6000000238418579,0.43359375,0.0,74.91961212158203,0.0,0.5437968373298645
1,0.4892857074737549,0.48816266655921936,0.348012775182724,74.91077597481863,0.3525179922580719,0.5446847081184387,0.6000000238418579,0.4713541865348816,0.0,74.77230834960938,0.0,0.5432056188583374
2,0.47857141494750977,0.454631507396698,0.34122446179389954,74.76253989083426,0.35338345170021057,0.535019040107727,0.6000000238418579,0.4986979365348816,0.0,74.62557067871094,0.0,0.5425325632095337
3,0.4892857074737549,0.5061848163604736,0.4421624541282654,74.61219852992467,0.43150684237480164,0.5286034345626831,0.6000000238418579,0.5611978769302368,0.0,74.47918853759765,0.0,0.5408755540847778
4,0.5535714030265808,0.5619674921035767,0.4428117275238037,74.43764256068638,0.42446044087409973,0.5565361976623535,0.6000000238418579,0.578125,0.0,74.33321990966797,0.0,0.5381791591644287
5,0.574999988079071,0.6186212301254272,0.490844190120697,74.26545213971819,0.4647887349128723,0.5693311095237732,0.6000000238418579,0.69921875,0.0,74.18744659423828,0.0,0.5355149507522583
6,0.4714285731315613,0.5041685700416565,0.37018144130706787,74.16144474574497,0.3937007784843445,0.5296875834465027,0.6000000238418579,0.7291666269302368,0.0,74.0406280517578,0.0,0.5366073846817017
7,0.5642856955528259,0.5523454546928406,0.4702349603176117,74.00332401820592,0.44525548815727234,0.5432913303375244,0.6000000238418579,0.7565103769302368,0.0,73.89422607421875,0.0,0.5376018285751343
8,0.5714285969734192,0.632758378982544,0.5298020243644714,73.8215087890625,0.4900662302970886,0.5505090951919556,0.6000000238418579,0.8307291865348816,0.0,73.75009002685547,0.0,0.5311261415481567
9,0.4928571283817291,0.5347819328308105,0.4599381685256958,73.71510075160435,0.44594594836235046,0.5326054096221924,0.6000000238418579,0.8229166269302368,0.0,73.60466156005859,0.0,0.5303258895874023
10,0.550000011920929,0.5794898271560669,0.47109663486480713,73.55929173060827,0.4642857015132904,0.5259560942649841,0.625,0.8450520634651184,0.07999999076128006,73.45944213867188,0.0625,0.5296107530593872
11,0.5785714387893677,0.6048469543457031,0.5264027714729309,73.40408150809152,0.5,0.5546461343765259,0.625,0.8828125,0.07999999076128006,73.314208984375,0.0625,0.5301148891448975
12,0.550000011920929,0.5312260985374451,0.48423418402671814,73.29210008893695,0.4964539110660553,0.5363079905509949,0.7250000238418579,0.8893228769302368,0.3276190161705017,73.17065887451172,0.3125,0.5269467830657959
13,0.5642856955528259,0.580947995185852,0.5333600640296936,73.13057229178293,0.5611510872840881,0.5267214179039001,0.75,0.890625,0.4276190400123596,73.02619018554688,0.375,0.5278093814849854
14,0.4928571283817291,0.5249948501586914,0.4269295632839203,73.00981794084821,0.4444444477558136,0.5139608383178711,0.75,0.8841146230697632,0.4276190400123596,72.88247985839844,0.375,0.5278753638267517
15,0.5571428537368774,0.5960733294487,0.4797278940677643,72.83234449114119,0.4852941036224365,0.5580370426177979,0.7749999761581421,0.8723957538604736,0.48095235228538513,72.74058685302734,0.4375,0.524170994758606
16,0.6000000238418579,0.6280363202095032,0.5460255742073059,72.67746233258929,0.5579710006713867,0.5414543747901917,0.7749999761581421,0.8723957538604736,0.48095235228538513,72.59744110107422,0.4375,0.5247911214828491
17,0.5892857313156128,0.6278849840164185,0.5530756711959839,72.53543221609932,0.5763888955116272,0.5390499830245972,0.7749999761581421,0.8776041865348816,0.48095235228538513,72.45543670654297,0.4375,0.522470235824585
18,0.5178571343421936,0.5823847651481628,0.46031129360198975,72.40840933663505,0.49635037779808044,0.5344679355621338,0.7749999761581421,0.8841146230697632,0.48095235228538513,72.31095123291016,0.4375,0.5282315015792847
19,0.5464285612106323,0.6145833134651184,0.5343887805938721,72.26010938371931,0.5128205418586731,0.551956832408905,0.75,0.8684895634651184,0.5219047665596008,72.17135925292969,0.5,0.5220993161201477
20,0.5857142806053162,0.6030651330947876,0.5492990612983704,72.12915627615793,0.5629629492759705,0.5435881018638611,0.75,0.8893228769302368,0.5219047665596008,72.0302001953125,0.5,0.5205686688423157
21,0.5678571462631226,0.5929108262062073,0.5536404252052307,71.985105242048,0.5850340127944946,0.5211076736450195,0.75,0.8763020634651184,0.5219047665596008,71.88781280517578,0.5,0.5220233201980591
22,0.5785714387893677,0.5865876078605652,0.5387545824050903,71.85529261997767,0.60447758436203,0.5192216634750366,0.75,0.8919271230697632,0.5219047665596008,71.7455078125,0.5,0.5241528749465942
23,0.6285714507102966,0.6704609394073486,0.5889900326728821,71.66890520368304,0.5985401272773743,0.545935332775116,0.800000011920929,0.890625,0.5409523248672485,71.60242614746093,0.5,0.5289806127548218
24,0.6357142925262451,0.7073656320571899,0.5828900337219238,71.5053950718471,0.6131386756896973,0.5427277088165283,0.7749999761581421,0.8841145038604736,0.48095235228538513,71.46024932861329,0.4375,0.5315121412277222
25,0.6071428656578064,0.6726664304733276,0.5951390266418457,71.38111877441406,0.5694444179534912,0.543760359287262,0.800000011920929,0.8893228769302368,0.5409523248672485,71.31846771240234,0.5,0.5323247909545898
26,0.6035714149475098,0.6469208002090454,0.5864966511726379,71.26168866838728,0.6382978558540344,0.5252872109413147,0.800000011920929,0.8880208730697632,0.5409523248672485,71.17664947509766,0.5,0.5345953106880188
27,0.6214285492897034,0.6560196280479431,0.6143598556518555,71.11098807198661,0.6081081032752991,0.5547895431518555,0.800000011920929,0.8906250596046448,0.5409523248672485,71.0361343383789,0.5,0.5341957211494446
28,0.6071428656578064,0.6697795391082764,0.568332314491272,70.9608391898019,0.5942028760910034,0.5537195205688477,0.800000011920929,0.89453125,0.5409523248672485,70.89477844238282,0.5,0.5366472005844116
29,0.6071428656578064,0.6862407326698303,0.6077572107315063,70.81603546142578,0.5855262875556946,0.5725531578063965,0.824999988079071,0.8880208730697632,0.6314285397529602,70.75577087402344,0.6875,0.5326749086380005
30,0.5714285969734192,0.6479064226150513,0.5256936550140381,70.69854409354073,0.5472972989082336,0.5492119789123535,0.824999988079071,0.8919271230697632,0.6714285612106323,70.61649780273437,0.75,0.5299644470214844
31,0.6321428418159485,0.7318995594978333,0.5859060287475586,70.51699044363839,0.6043165326118469,0.5699225664138794,0.800000011920929,0.8958333730697632,0.6314285397529602,70.4743667602539,0.6875,0.5343949198722839
32,0.675000011920929,0.7336642146110535,0.6078972220420837,70.37695595877511,0.6774193644523621,0.5832211375236511,0.800000011920929,0.90234375,0.5957142114639282,70.33171844482422,0.625,0.5406943559646606
33,0.6214285492897034,0.6488525867462158,0.5740196704864502,70.28237479073661,0.6279069781303406,0.5508127808570862,0.7749999761581421,0.9088541269302368,0.5600000023841858,70.18930358886719,0.5625,0.5464587211608887
34,0.6499999761581421,0.7188376784324646,0.5847700834274292,70.10544607979911,0.5815602540969849,0.5966642498970032,0.800000011920929,0.9127604365348816,0.5957142114639282,70.04835968017578,0.625,0.5486403703689575
35,0.6499999761581421,0.7175983190536499,0.6164852380752563,69.96820133754186,0.6439393758773804,0.5717578530311584,0.824999988079071,0.9153645634651184,0.6314285397529602,69.90735778808593,0.6875,0.5507184863090515
36,0.6464285850524902,0.7153798937797546,0.605004072189331,69.83933323451451,0.563758373260498,0.6030816435813904,0.800000011920929,0.9192708730697632,0.6314285397529602,69.7676788330078,0.6875,0.5490058064460754
37,0.7035714387893677,0.7559998035430908,0.622195303440094,69.67147173200335,0.654411792755127,0.6058683395385742,0.824999988079071,0.9283853769302368,0.6592063307762146,69.62801666259766,0.75,0.5476704239845276
38,0.625,0.6824272274971008,0.5373654961585999,69.57051260811942,0.5426356792449951,0.5834373831748962,0.824999988079071,0.9231771230697632,0.6592063307762146,69.485498046875,0.75,0.5542247295379639
39,0.7071428298950195,0.8132016658782959,0.6339538097381592,69.35800432477679,0.6449275612831116,0.6370413303375244,0.824999988079071,0.9309895634651184,0.6592063307762146,69.34559783935546,0.75,0.5539347529411316
40,0.6678571701049805,0.7773085236549377,0.6344732642173767,69.25057634626116,0.5810810923576355,0.623645544052124,0.875,0.9309895634651184,0.7277777791023254,69.20792083740234,0.875,0.5489609241485596
41,0.6892856955528259,0.7686197757720947,0.6827128529548645,69.12483673095703,0.6625000238418579,0.623508870601654,0.8500000238418579,0.93359375,0.7333332896232605,69.07250671386718,0.9375,0.5399610996246338
42,0.7464285492897034,0.8329846262931824,0.6811667084693909,68.93617444719587,0.7981651425361633,0.5976129174232483,0.8999999761581421,0.94140625,0.7555555105209351,68.92607421875,0.9375,0.5554131269454956
43,0.7107142806053162,0.7914782166481018,0.6865016222000122,68.84496961321149,0.6315789222717285,0.6489221453666687,0.875,0.9427082538604736,0.7333332896232605,68.78658447265624,0.9375,0.5549402236938477
44,0.7214285731315613,0.7920506000518799,0.6920099258422852,68.69720546177456,0.6959459185600281,0.6194697022438049,0.8500000238418579,0.94140625,0.7333332896232605,68.64675903320312,0.9375,0.5561641454696655
45,0.7071428298950195,0.7881014347076416,0.6606369018554688,68.5565436226981,0.633093535900116,0.6316726207733154,0.875,0.9440103769302368,0.7555555105209351,68.50901641845704,1.0,0.5531721115112305
46,0.7107142806053162,0.7967109084129333,0.6610162258148193,68.40404096330916,0.732824444770813,0.6437974572181702,0.875,0.9518229365348816,0.7555555105209351,68.3675552368164,1.0,0.5586379766464233
47,0.7571428418159485,0.8188061714172363,0.7071982026100159,68.25727691650391,0.7058823704719543,0.656880795955658,0.875,0.953125,0.7555555105209351,68.22542877197266,1.0,0.565723717212677
48,0.6928571462631226,0.8006854057312012,0.6926344037055969,68.14065508161272,0.6558441519737244,0.6406890749931335,0.875,0.953125,0.7555555105209351,68.08899536132813,1.0,0.5609732866287231
