epoch,accuracy,auc,f1_m,loss,recall,specificity,val_accuracy,val_auc,val_f1_m,val_loss,val_recall,val_specificity
0,0.4724999964237213,0.5259941816329956,0.6144062280654907,74.7702717590332,0.9652406573295593,0.29943934082984924,0.6499999761581421,0.7925823926925659,0.761025607585907,74.3371826171875,1.0,0.33238592743873596
1,0.5162500143051147,0.4843483567237854,0.6508445739746094,74.28959915161133,0.9214285612106323,0.3240810036659241,0.6499999761581421,0.8159340620040894,0.761025607585907,73.92166442871094,1.0,0.35691094398498535
2,0.5262500047683716,0.5346053838729858,0.6408551931381226,73.84429153442383,0.8894230723381042,0.35957181453704834,0.6499999761581421,0.8502746820449829,0.761025607585907,73.50909576416015,1.0,0.37883928418159485
3,0.47749999165534973,0.49734488129615784,0.5764531493186951,73.4590943145752,0.7994858622550964,0.38996461033821106,0.6499999761581421,0.8777472972869873,0.761025607585907,73.10719451904296,1.0,0.40885287523269653
4,0.5575000047683716,0.5669698119163513,0.6366980671882629,72.99815452575683,0.8370370268821716,0.4152766168117523,0.6499999761581421,0.8983516693115234,0.761025607585907,72.70332183837891,1.0,0.4255456328392029
5,0.5212500095367432,0.5547794699668884,0.5916826128959656,72.59804084777832,0.7613065242767334,0.43235740065574646,0.6499999761581421,0.9010988473892212,0.761025607585907,72.30205841064453,1.0,0.442138135433197
6,0.5375000238418579,0.5814687013626099,0.5839834809303284,72.17138610839844,0.7124999761581421,0.4532928168773651,0.6499999761581421,0.9052197933197021,0.761025607585907,71.89969024658203,1.0,0.45280709862709045
7,0.5587499737739563,0.6064707040786743,0.6011132001876831,71.75264297485352,0.7132353186607361,0.4732164144515991,0.6499999761581421,0.9010989665985107,0.761025607585907,71.49791107177734,1.0,0.4616006016731262
8,0.5662500262260437,0.6013561487197876,0.5932072401046753,71.36037940979004,0.7015306353569031,0.48357337713241577,0.6499999761581421,0.8942307233810425,0.761025607585907,71.09822540283203,1.0,0.4718244671821594
9,0.5662500262260437,0.5956992506980896,0.5606788992881775,70.95462677001953,0.6442785859107971,0.4894789755344391,0.675000011920929,0.8969780206680298,0.7743589282035828,70.70012054443359,1.0,0.4838496148586273
10,0.6112499833106995,0.642419695854187,0.6191723346710205,70.5338542175293,0.6594724059104919,0.5194505453109741,0.7250000238418579,0.8956044316291809,0.7965811491012573,70.29690093994141,1.0,0.48627224564552307
11,0.6662499904632568,0.7244374752044678,0.6440819501876831,70.09518890380859,0.7020725607872009,0.5518872737884521,0.75,0.8983516693115234,0.8068375587463379,69.90059509277344,0.9615384340286255,0.5012035369873047
12,0.6499999761581421,0.711788535118103,0.640952467918396,69.7075414276123,0.6723716259002686,0.5459116697311401,0.75,0.9093406796455383,0.7999999523162842,69.49963989257813,0.9230769276618958,0.5068889260292053
