epoch,accuracy,auc_3,f1_m,loss,recall_3,specificity,val_accuracy,val_auc_3,val_f1_m,val_loss,val_recall_3,val_specificity
0,0.4937500059604645,0.4800630807876587,0.5609788298606873,74.66987258911132,0.7007299065589905,0.42148810625076294,0.6499999761581421,0.6002746820449829,0.761025607585907,74.35990753173829,1.0,0.42649537324905396
1,0.5024999976158142,0.5329102277755737,0.551033616065979,74.22634353637696,0.6741293668746948,0.44083964824676514,0.6499999761581421,0.6030219793319702,0.761025607585907,73.95125732421874,1.0,0.4426017701625824
2,0.512499988079071,0.5066914558410645,0.5405889749526978,73.8213028717041,0.6485788226127625,0.46701422333717346,0.6499999761581421,0.6291208863258362,0.761025607585907,73.5492919921875,1.0,0.4639874994754791
3,0.5099999904632568,0.5336920022964478,0.5053511261940002,73.40170516967774,0.5786802172660828,0.4716712236404419,0.6499999761581421,0.6112637519836426,0.761025607585907,73.14671630859375,1.0,0.4734904170036316
4,0.5074999928474426,0.514004647731781,0.5206688046455383,72.9968179321289,0.5797101259231567,0.4745781719684601,0.6499999761581421,0.598901093006134,0.761025607585907,72.74002380371094,1.0,0.4749535620212555
5,0.5199999809265137,0.5265715718269348,0.5140979886054993,72.58910537719727,0.5710659623146057,0.4847210645675659,0.675000011920929,0.6277472376823425,0.7743589282035828,72.34105682373047,1.0,0.48449546098709106
6,0.5450000166893005,0.5482639670372009,0.5207305550575256,72.17620399475098,0.5837563276290894,0.5039233565330505,0.6000000238418579,0.6126374006271362,0.7180951833724976,71.94185791015624,0.8461538553237915,0.49036020040512085
7,0.5724999904632568,0.5978924036026001,0.5712575316429138,71.74966911315919,0.5975610017776489,0.5161922574043274,0.625,0.6318681240081787,0.7360439300537109,71.53921661376953,0.8846153616905212,0.4885084629058838
8,0.5512499809265137,0.5717613697052002,0.5599328279495239,71.36742286682129,0.621026873588562,0.4975230097770691,0.574999988079071,0.6620879173278809,0.6968830823898315,71.1421890258789,0.807692289352417,0.49402374029159546
9,0.5612499713897705,0.5810338258743286,0.5227792263031006,70.96556655883789,0.5583756566047668,0.5223945379257202,0.625,0.6717033386230469,0.7189587950706482,70.74525299072266,0.807692289352417,0.498509019613266
