,loss,score_loss,final_activation_mask1_loss,final_activation_mask2_loss,score_auc_1,score_f1_m,score_accuracy,final_activation_mask1_accuracy,final_activation_mask2_accuracy,val_loss,val_score_loss,val_final_activation_mask1_loss,val_final_activation_mask2_loss,val_score_auc_1,val_score_f1_m,val_score_accuracy,val_final_activation_mask1_accuracy,val_final_activation_mask2_accuracy,lr
0,27.974614879063196,0.8973928689956665,0.72023606300354,0.6766561269760132,0.49285680055618286,0.3916575610637665,0.4928571283817291,0.5571428537368774,0.5964285731315613,23.504244232177733,0.7176068425178528,0.7041438817977905,0.6880522966384888,0.5818414688110352,0.5890908241271973,0.42500001192092896,0.42500001192092896,0.574999988079071,0.0005
1,20.104591260637555,0.7678865790367126,0.6100120544433594,0.6460758447647095,0.5163729190826416,0.4143136441707611,0.4928571283817291,0.675000011920929,0.6464285850524902,16.80313034057617,0.6794916987419128,0.7497733235359192,0.6931809186935425,0.8273656964302063,0.0,0.574999988079071,0.42500001192092896,0.42500001192092896,0.0005
2,14.224440710885185,0.6849129796028137,0.5586970448493958,0.6037423610687256,0.6053398847579956,0.46640902757644653,0.5821428298950195,0.699999988079071,0.6857143044471741,12.001435470581054,0.6985334157943726,0.8758166432380676,0.7026124000549316,0.6739131212234497,0.5890908241271973,0.42500001192092896,0.42500001192092896,0.42500001192092896,0.0005
3,10.051501028878349,0.6647388935089111,0.4883926510810852,0.5319282412528992,0.637840747833252,0.6344722509384155,0.6071428656578064,0.7607142925262451,0.7142857313156128,8.663677787780761,0.680060625076294,1.058081030845642,0.7318928241729736,0.5805627107620239,0.0,0.574999988079071,0.42500001192092896,0.42500001192092896,0.0005
4,7.181431075504848,0.6058729290962219,0.5176312923431396,0.5379711985588074,0.7196927070617676,0.6364801526069641,0.6321428418159485,0.7464285492897034,0.7571428418159485,6.400712394714356,0.6873175501823425,1.092322587966919,0.7438336610794067,0.7135549783706665,0.0,0.574999988079071,0.42500001192092896,0.42500001192092896,0.0005
5,5.195701939719064,0.5690306425094604,0.4413074254989624,0.413341760635376,0.7765305638313293,0.6992702484130859,0.7178571224212646,0.7785714268684387,0.8214285969734192,4.860047054290772,0.682411253452301,1.107023000717163,0.7120147347450256,0.7941176891326904,0.0,0.574999988079071,0.42500001192092896,0.42500001192092896,0.0005
6,3.6803697790418353,0.36391332745552063,0.3554721772670746,0.31737521290779114,0.9248785972595215,0.8370933532714844,0.8392857313156128,0.8392857313156128,0.8785714507102966,3.955213260650635,0.6911332011222839,1.3399139642715454,0.7522009611129761,0.7762148380279541,0.0,0.574999988079071,0.42500001192092896,0.42500001192092896,0.0005
7,2.7566286836351668,0.2934843599796295,0.31482166051864624,0.30219224095344543,0.9497857093811035,0.8566769957542419,0.875,0.8571428656578064,0.8678571581840515,3.3330170631408693,0.6959983706474304,1.4722522497177124,0.808672308921814,0.5012787580490112,0.0,0.574999988079071,0.42500001192092896,0.42500001192092896,0.0005
8,2.1752343961170744,0.27691420912742615,0.29319384694099426,0.3406547009944916,0.956700325012207,0.8632405400276184,0.8714285492897034,0.8785714507102966,0.8714285492897034,2.8678022384643556,0.7371461391448975,1.4103907346725464,0.753084123134613,0.5613811016082764,0.0,0.574999988079071,0.42500001192092896,0.42500001192092896,0.0005
9,1.7467184679848806,0.2771695852279663,0.23127861320972443,0.2802773714065552,0.9582885503768921,0.873772382736206,0.8928571343421936,0.9214285612106323,0.8892857432365417,2.5066207885742187,0.708326518535614,1.387007236480713,0.732840359210968,0.6905370950698853,0.0,0.574999988079071,0.42500001192092896,0.42500001192092896,0.0005
10,1.452076939174107,0.25293800234794617,0.23296666145324707,0.273916095495224,0.9591248035430908,0.877435564994812,0.8964285850524902,0.9107142686843872,0.8821428418159485,2.2680838108062744,0.6899319291114807,1.3680453300476074,0.7830069661140442,0.7710997462272644,0.0,0.574999988079071,0.42500001192092896,0.42500001192092896,0.0005
11,1.3091384257589067,0.2842734158039093,0.28629037737846375,0.29777392745018005,0.9545593857765198,0.8695996999740601,0.8928571343421936,0.8964285850524902,0.8821428418159485,2.1938921451568603,0.743000328540802,1.3516243696212769,0.9062961339950562,0.6521739363670349,0.0,0.574999988079071,0.42500001192092896,0.42500001192092896,0.0005
12,1.2863093069621494,0.33405330777168274,0.21269798278808594,0.6080381274223328,0.9329757690429688,0.8499191999435425,0.8714285492897034,0.9142857193946838,0.6964285969734192,2.046177387237549,0.6791741847991943,1.3914964199066162,1.03230881690979,0.7276214957237244,0.0,0.574999988079071,0.42500001192092896,0.42500001192092896,0.0005
13,1.1085924012320383,0.2489956170320511,0.14627835154533386,0.7101895809173584,0.9674146175384521,0.9035144448280334,0.9035714268684387,0.9357143044471741,0.4642857015132904,1.983682680130005,0.6796649098396301,1.4331169128417969,1.050613522529602,0.6994885206222534,0.0,0.574999988079071,0.42500001192092896,0.42500001192092896,0.0005
14,0.9365683436393738,0.16982987523078918,0.10075598955154419,0.7261388301849365,0.9834263324737549,0.927095353603363,0.9357143044471741,0.9607142806053162,0.48571428656578064,1.956516480445862,0.6779573559761047,1.6666972637176514,0.9746060371398926,0.6687979698181152,0.0,0.574999988079071,0.42500001192092896,0.42500001192092896,0.0005
15,0.9930688534464155,0.2754531502723694,0.17871439456939697,0.7150738835334778,0.9571487307548523,0.9131550192832947,0.9214285612106323,0.9321428537368774,0.5107142925262451,1.9543140172958373,0.6697430610656738,1.8567638397216797,1.053931474685669,0.7647058963775635,0.0,0.574999988079071,0.42500001192092896,0.42500001192092896,0.0005
16,0.8487869432994297,0.19888092577457428,0.15501651167869568,0.6951669454574585,0.9732472896575928,0.9442002177238464,0.9535714387893677,0.9642857313156128,0.5178571343421936,1.7965531826019288,0.5835287570953369,1.9122655391693115,0.8704302906990051,0.8746802806854248,0.07999999076128006,0.6000000238418579,0.42500001192092896,0.42500001192092896,0.0005
17,0.9124768154961722,0.29700636863708496,0.20481011271476746,0.7006254196166992,0.9439002275466919,0.8787508010864258,0.9035714268684387,0.9285714030265808,0.5285714268684387,1.577190351486206,0.5705167651176453,1.4506516456604004,0.8211721181869507,0.790281355381012,0.4466666281223297,0.7250000238418579,0.42500001192092896,0.42500001192092896,0.0005
18,0.6587868962969099,0.11704316735267639,0.07676693052053452,0.691196620464325,0.9926154017448425,0.9623994827270508,0.9607142806053162,0.9750000238418579,0.5464285612106323,1.4640048742294312,0.6422421932220459,1.0166857242584229,0.7367647886276245,0.7710997462272644,0.45333331823349,0.7250000238418579,0.5249999761581421,0.42500001192092896,0.0005
19,0.7988365139280047,0.26510438323020935,0.1599707156419754,0.7094894647598267,0.9599050879478455,0.8853617310523987,0.8999999761581421,0.9392856955528259,0.4749999940395355,1.3562055826187134,0.48815590143203735,1.2521861791610718,0.7838118076324463,0.8682864904403687,0.7468253374099731,0.75,0.550000011920929,0.42500001192092896,0.0005
20,0.6578086146286556,0.16471189260482788,0.12067913264036179,0.7026023268699646,0.9782508015632629,0.9583426117897034,0.9678571224212646,0.9642857313156128,0.5214285850524902,1.5652033805847168,0.8091591000556946,1.0145173072814941,0.7164881229400635,0.687979519367218,0.6006348729133606,0.675000011920929,0.625,0.44999998807907104,0.0005
21,0.6213079614298684,0.16576218605041504,0.06214357167482376,0.7202431559562683,0.9828686714172363,0.9344916343688965,0.9392856955528259,0.9785714149475098,0.4821428656578064,2.6262012243270876,1.7728803157806396,1.401246428489685,0.7487563490867615,0.6918158531188965,0.6133333444595337,0.4749999940395355,0.5249999761581421,0.42500001192092896,0.0005
22,0.6188289608274188,0.1912717968225479,0.05826026201248169,0.7092726826667786,0.9772135019302368,0.9578664302825928,0.9571428298950195,0.9892857074737549,0.46785715222358704,1.579926896095276,0.9236162304878235,0.8428283929824829,0.7312110662460327,0.8017902374267578,0.6499999761581421,0.7250000238418579,0.7250000238418579,0.42500001192092896,0.0005
23,0.5554199959550585,0.14457525312900543,0.08495081216096878,0.6982437968254089,0.9877661466598511,0.9498164653778076,0.9571428298950195,0.9714285731315613,0.5,1.4338404178619384,0.8758639097213745,0.5866227149963379,0.7159223556518555,0.7800511717796326,0.6333332657814026,0.7250000238418579,0.7250000238418579,0.574999988079071,0.0005
24,0.5328862701143537,0.13272781670093536,0.0628388524055481,0.7232691645622253,0.9884896278381348,0.9559595584869385,0.9607142806053162,0.9821428656578064,0.43214285373687744,0.770195198059082,0.28839170932769775,0.39457833766937256,0.704250156879425,0.9398976564407349,0.8171428442001343,0.8500000238418579,0.824999988079071,0.4000000059604645,0.0005
25,0.5349057435989379,0.14623072743415833,0.10798776894807816,0.6974933743476868,0.9846813678741455,0.9634339213371277,0.9607142806053162,0.9750000238418579,0.5142857432365417,1.4247548580169678,0.8747552037239075,0.5319190621376038,0.8280409574508667,0.7710997462272644,0.42666664719581604,0.7250000238418579,0.75,0.42500001192092896,0.0005
