epoch,accuracy,auc_3,f1_m,loss,recall_3,specificity,val_accuracy,val_auc_3,val_f1_m,val_loss,val_recall_3,val_specificity
0,0.5,0.4716455638408661,0.033166661858558655,73.82051406860352,0.025316456332802773,0.7200493812561035,0.3499999940395355,0.34478020668029785,0.0,73.7025161743164,0.0,0.708523154258728
1,0.5012500286102295,0.5257540345191956,0.09252380579710007,73.34042678833008,0.06632652878761292,0.6849913001060486,0.3499999940395355,0.4079670011997223,0.0,73.23942565917969,0.0,0.6830994486808777
2,0.5037500262260437,0.5513227581977844,0.18668250739574432,72.92403793334961,0.14423076808452606,0.6612097024917603,0.3499999940395355,0.43406593799591064,0.0,72.7816146850586,0.0,0.6548437476158142
3,0.4987500011920929,0.5150343775749207,0.23793649673461914,72.51038383483886,0.18000000715255737,0.6281775236129761,0.3499999940395355,0.4931318759918213,0.0,72.33953094482422,0.0,0.6311351656913757
4,0.5212500095367432,0.5410290956497192,0.3091111183166504,72.0773950958252,0.25,0.6112909317016602,0.3499999940395355,0.5425823926925659,0.0,71.90811309814453,0.0,0.6102703809738159
5,0.5400000214576721,0.5606595277786255,0.3487972021102905,71.65074951171874,0.31070494651794434,0.5987962484359741,0.3499999940395355,0.5563186407089233,0.0,71.4931137084961,0.0,0.601335346698761
6,0.574999988079071,0.6165043115615845,0.4432604908943176,71.21700561523437,0.3817734122276306,0.6041504740715027,0.3499999940395355,0.6236263513565063,0.0,71.0762451171875,0.0,0.5896555781364441
7,0.5174999833106995,0.5629382133483887,0.38926833868026733,70.84530792236328,0.36009731888771057,0.574122965335846,0.3499999940395355,0.682692289352417,0.0,70.66164093017578,0.0,0.5785775184631348
8,0.5762500166893005,0.5966895818710327,0.5088976621627808,70.43055892944336,0.4816626012325287,0.5623094439506531,0.375,0.7335164546966553,0.06666665524244308,70.25313415527344,0.03846153989434242,0.5729256272315979
9,0.5649999976158142,0.5951147079467773,0.47912055253982544,70.02897621154786,0.4760705232620239,0.5636454820632935,0.42500001192092896,0.7554944753646851,0.18333330750465393,69.85210723876953,0.11538461595773697,0.57501220703125
10,0.6037499904632568,0.644132673740387,0.5175250768661499,69.61134437561036,0.5049019455909729,0.5697465538978577,0.4749999940395355,0.7898352146148682,0.2666666507720947,69.44727172851563,0.19230769574642181,0.5712183713912964
11,0.6187499761581421,0.6519041061401367,0.5288029909133911,69.21363182067871,0.5162907242774963,0.5866954326629639,0.4749999940395355,0.7994505167007446,0.2666666507720947,69.04607696533203,0.19230769574642181,0.5708023309707642
12,0.6287500262260437,0.660150408744812,0.5604639053344727,68.81515296936035,0.552971601486206,0.5844614505767822,0.5,0.8035714626312256,0.3166666626930237,68.65089263916016,0.23076923191547394,0.5758439302444458
13,0.6225000023841858,0.6837620735168457,0.5591190457344055,68.41548706054688,0.5198019742965698,0.5935055017471313,0.550000011920929,0.8104395866394043,0.39444440603256226,68.2561752319336,0.3076923191547394,0.5801040530204773
14,0.6075000166893005,0.6800620555877686,0.5442438721656799,68.03012222290039,0.512135922908783,0.5940802097320557,0.625,0.8131868243217468,0.6130735874176025,67.85458679199219,0.5,0.5730980634689331
15,0.706250011920929,0.7495672106742859,0.6537749767303467,67.60153213500976,0.6329787373542786,0.6010211110115051,0.699999988079071,0.8282966613769531,0.6885281205177307,67.46279602050781,0.5384615659713745,0.5796655416488647
16,0.6987500190734863,0.7808561325073242,0.667884349822998,67.20590812683105,0.6169725060462952,0.6426171660423279,0.7749999761581421,0.8406593799591064,0.7415584325790405,67.05933074951172,0.7307692170143127,0.5690435171127319
17,0.7174999713897705,0.7920457124710083,0.6693059802055359,66.80612495422363,0.6526315808296204,0.6155415773391724,0.8500000238418579,0.8653846383094788,0.8287878036499023,66.66986083984375,0.7692307829856873,0.5823616981506348
18,0.7287499904632568,0.7992228865623474,0.6701652407646179,66.42031173706054,0.6513994932174683,0.6475833654403687,0.8500000238418579,0.8804944753646851,0.8287878036499023,66.27795715332032,0.7692307829856873,0.5933895111083984
19,0.737500011920929,0.8220325112342834,0.6770561933517456,66.01952629089355,0.6384615302085876,0.6693615913391113,0.875,0.8928571343421936,0.8565656542778015,65.88180084228516,0.807692289352417,0.5981274247169495
20,0.7524999976158142,0.8486265540122986,0.7157013416290283,65.63071136474609,0.6674584150314331,0.6930295825004578,0.800000011920929,0.906593382358551,0.8206060528755188,65.47996826171875,0.8461538553237915,0.5931723117828369
21,0.7512500286102295,0.8514786958694458,0.7123340368270874,65.24163536071778,0.689976692199707,0.6752874851226807,0.824999988079071,0.923076868057251,0.8452214002609253,65.08257141113282,0.9230769276618958,0.5838276743888855
22,0.7825000286102295,0.865935206413269,0.7434027791023254,64.84358177185058,0.739130437374115,0.6867420077323914,0.824999988079071,0.9230769276618958,0.8418181538581848,64.69518585205078,0.8846153616905212,0.6080373525619507
23,0.7825000286102295,0.8715031147003174,0.7421477437019348,64.4677751159668,0.7319587469100952,0.7255921959877014,0.800000011920929,0.9313186407089233,0.8206060528755188,64.30856628417969,0.8461538553237915,0.6295932531356812
24,0.8174999952316284,0.9047256708145142,0.794921875,64.05605857849122,0.7613365054130554,0.738328218460083,0.824999988079071,0.9395604133605957,0.8418181538581848,63.91850662231445,0.8846153616905212,0.6391679048538208
25,0.8337500095367432,0.9181684851646423,0.803061306476593,63.66276168823242,0.7926509380340576,0.7492572069168091,0.800000011920929,0.9409340620040894,0.7872726917266846,63.53394775390625,0.807692289352417,0.6656242609024048
