epoch,accuracy,auc_1,loss,val_accuracy,val_auc_1,val_loss
0,0.5625,0.5756275653839111,0.7049593240022659,0.3499999940395355,0.5,0.723211944103241
1,0.612500011920929,0.6461961269378662,0.6989776760339736,0.3499999940395355,0.5,0.7190679907798767
2,0.6937500238418579,0.7459145784378052,0.6086111724376678,0.3499999940395355,0.5,0.7461223602294922
3,0.7875000238418579,0.8338056802749634,0.5065599754452705,0.3499999940395355,0.5,0.7485765218734741
4,0.78125,0.8524512648582458,0.4908831402659416,0.3499999940395355,0.5,0.7560490131378174
5,0.793749988079071,0.8664361834526062,0.4792621895670891,0.3499999940395355,0.5,0.7985276579856873
6,0.824999988079071,0.8830670118331909,0.4338093500584364,0.3499999940395355,0.5,0.8089615345001221
7,0.8812500238418579,0.9329525232315063,0.33015545904636384,0.3499999940395355,0.5,0.7920962929725647
8,0.875,0.9367843270301819,0.3216415949165821,0.3499999940395355,0.5,0.7396942496299743
9,0.8374999761581421,0.873828113079071,0.4592489741742611,0.3499999940395355,0.5,0.7631338953971862
10,0.824999988079071,0.9194861650466919,0.3628718663007021,0.3499999940395355,0.5,0.7674241065979004
11,0.8500000238418579,0.9101079106330872,0.3901157520711422,0.3499999940395355,0.5,0.7170619010925293
12,0.856249988079071,0.9385553002357483,0.3199492607265711,0.3499999940395355,0.5,0.7146602511405945
13,0.7875000238418579,0.8484209179878235,0.5001889482140541,0.3499999940395355,0.5,0.7040837407112122
14,0.875,0.9450781345367432,0.31082529053092,0.6499999761581421,0.5,0.6682600617408753
15,0.8500000238418579,0.9333754777908325,0.32934204377233983,0.6499999761581421,0.5,0.6578452706336975
0,0.5375000238418579,0.5068235397338867,0.7415704965591431,0.6499999761581421,0.5,0.6728123784065246
1,0.612500011920929,0.6175183653831482,0.6939715087413788,0.6499999761581421,0.5,0.6601132988929749
2,0.625,0.7000325322151184,0.6380040228366852,0.6499999761581421,0.5,0.6490250825881958
3,0.5562499761581421,0.6169154644012451,0.7437349557876587,0.6499999761581421,0.5,0.6526263356208801
4,0.606249988079071,0.6760936975479126,0.650878244638443,0.6499999761581421,0.5,0.6477133512496949
5,0.6000000238418579,0.6426767706871033,0.6820659741759301,0.6499999761581421,0.5,0.6475020766258239
6,0.7250000238418579,0.7594937086105347,0.5902924314141273,0.6499999761581421,0.5,0.6492289066314697
7,0.75,0.8022630214691162,0.5429889008402824,0.6499999761581421,0.5,0.6519733667373657
8,0.7875000238418579,0.8547932505607605,0.4855983078479767,0.6499999761581421,0.5,0.6912485003471375
9,0.7562500238418579,0.8581249713897705,0.483352530002594,0.6499999761581421,0.5,0.7262430787086487
10,0.7437499761581421,0.8733881115913391,0.451766736805439,0.6499999761581421,0.5,0.7974505424499512
11,0.824999988079071,0.9000155925750732,0.4039309933781624,0.6499999761581421,0.5,0.8420750200748444
12,0.8374999761581421,0.9097515344619751,0.3821991767734289,0.6499999761581421,0.5,0.8722433745861053
13,0.831250011920929,0.9149391055107117,0.37250487580895425,0.6499999761581421,0.5,0.9379523992538452
14,0.893750011920929,0.9431872367858887,0.306948558986187,0.6499999761581421,0.5,0.9835942387580872
15,0.8999999761581421,0.9526159167289734,0.2865842284634709,0.6499999761581421,0.5,1.0395611643791198
16,0.8500000238418579,0.9228540658950806,0.35512337908148767,0.6499999761581421,0.5,1.072120988368988
17,0.918749988079071,0.9567360877990723,0.254552691988647,0.6499999761581421,0.5,1.0207458138465881
18,0.9125000238418579,0.9506722688674927,0.2789565804414451,0.6499999761581421,0.5,1.1045554876327515
19,0.90625,0.9426074624061584,0.28783608907833697,0.6499999761581421,0.5,1.1002974569797517
20,0.9437500238418579,0.9818721413612366,0.1799150798469782,0.6499999761581421,0.5,1.1356283843517303
21,0.918749988079071,0.9797435998916626,0.17811768008396028,0.6499999761581421,0.5,1.1163858413696288
22,0.90625,0.9695945978164673,0.23879728149622678,0.6499999761581421,0.5,1.1653863906860351
23,0.8999999761581421,0.971089243888855,0.21988437436521052,0.6499999761581421,0.5,1.1264359056949615
24,0.9437500238418579,0.9831012487411499,0.16098025338724256,0.6499999761581421,0.5,1.110501092672348
25,0.887499988079071,0.9720268249511719,0.22631756151095034,0.6499999761581421,0.5,1.1267948508262635
26,0.9624999761581421,0.993593692779541,0.12168093612417578,0.6499999761581421,0.5247253179550171,1.152439260482788
27,0.9437500238418579,0.9946800470352173,0.11334750675596297,0.6499999761581421,0.5164834856987,1.2002661645412445
28,0.956250011920929,0.9958431720733643,0.09239263646304607,0.6499999761581421,0.557692289352417,1.293097048997879
29,0.981249988079071,0.9996814727783203,0.04243277334608138,0.6499999761581421,0.48351648449897766,1.3811167478561401
30,0.9624999761581421,0.9948430061340332,0.0987151205074042,0.6499999761581421,0.5521978139877319,1.4090475559234619
31,0.981249988079071,0.9945175647735596,0.08235269398428499,0.6499999761581421,0.5357142686843872,1.4615615725517273
32,0.9437500238418579,0.9966232776641846,0.1206982150208205,0.6499999761581421,0.47664833068847656,1.3109461307525634
33,0.981249988079071,0.9992088079452515,0.04712554905563593,0.6499999761581421,0.6868131756782532,1.3404528319835662
34,0.96875,0.9985902905464172,0.05887797062750906,0.6499999761581421,0.8461538553237915,1.3118752658367157
35,0.96875,0.9863293170928955,0.11752930008806288,0.675000011920929,0.9862636923789978,1.0060757726430893
36,0.9750000238418579,0.9907798171043396,0.08140113272238522,0.7250000238418579,0.7884615063667297,1.1302715793251992
37,0.9937499761581421,1.0,0.033437076839618385,0.75,0.7719780206680298,0.9750300481915474
38,1.0,1.0,0.01816131854429841,0.7749999761581421,0.7637363076210022,1.0386323604732752
39,0.987500011920929,0.9998428821563721,0.02644218351924792,0.7749999761581421,0.759615421295166,1.1755788054317236
40,0.987500011920929,0.9996874332427979,0.02175662056542933,0.7250000238418579,0.8255494236946106,1.0997333534061908
41,0.981249988079071,0.9984754323959351,0.053937217523343864,0.824999988079071,0.8063186407089233,0.7541986620053649
42,0.9750000238418579,0.9811439514160156,0.1410345519776456,0.6499999761581421,0.7266483306884766,1.0261833250522614
43,0.96875,0.9978853464126587,0.07261373554356396,0.5249999761581421,0.6401098966598511,1.0052595496177674
44,0.9750000238418579,0.9990530610084534,0.06045526205562055,0.6000000238418579,0.7032967209815979,0.874074399471283
0,0.6000000238418579,0.6312853097915649,0.6707278534770011,0.3499999940395355,0.5,0.7010029077529907
1,0.6875,0.762863039970398,0.6069643348455429,0.3499999940395355,0.5,0.7038186550140381
2,0.78125,0.8570632934570312,0.4758194833993912,0.3499999940395355,0.5,0.7206910014152527
3,0.762499988079071,0.8749803304672241,0.4666208393871784,0.3499999940395355,0.5,0.770161509513855
4,0.762499988079071,0.8543651103973389,0.47759474292397497,0.3499999940395355,0.5,0.7445074796676636
5,0.75,0.8180965185165405,0.5655129559338092,0.3499999940395355,0.5,0.7856439471244812
6,0.8062499761581421,0.9061176180839539,0.4122716300189495,0.3499999940395355,0.5,0.9250114440917969
7,0.856249988079071,0.9309993982315063,0.3328512378036976,0.3499999940395355,0.5,1.039867877960205
8,0.8187500238418579,0.9374902248382568,0.3443726941943169,0.3499999940395355,0.5,1.0713066816329957
9,0.893750011920929,0.9489314556121826,0.29426675103604794,0.3499999940395355,0.5,1.0481484651565551
10,0.78125,0.8733875155448914,0.49972599409520624,0.3499999940395355,0.5,0.937278413772583
11,0.8374999761581421,0.9074161648750305,0.38836267292499543,0.3499999940395355,0.5,1.0876719117164613
12,0.9125000238418579,0.9650000333786011,0.25370878502726557,0.3499999940395355,0.5,1.1817460775375366
13,0.706250011920929,0.7632442712783813,0.6776730451732874,0.3499999940395355,0.5,1.3426301240921021
14,0.862500011920929,0.9295983910560608,0.3433548524975777,0.3499999940395355,0.5,1.4583754658699035
15,0.8062499761581421,0.8673725724220276,0.4720008336007595,0.3499999940395355,0.5,1.3633499264717102
16,0.8125,0.9014227390289307,0.40943344235420226,0.3499999940395355,0.5,1.3307626724243165
17,0.90625,0.9623689651489258,0.24120937958359717,0.3499999940395355,0.5,1.3715370059013368
18,0.831250011920929,0.9128289222717285,0.3811896085739136,0.3499999940395355,0.5,1.1916763424873351
19,0.8687499761581421,0.936470627784729,0.3175701066851616,0.3499999940395355,0.5,1.119515061378479
20,0.8500000238418579,0.9067041873931885,0.36575655564665793,0.3499999940395355,0.5,1.1635871410369873
21,0.8687499761581421,0.9399430155754089,0.3249233741313219,0.3499999940395355,0.5,1.126725423336029
22,0.90625,0.9530174732208252,0.26320383343845605,0.3499999940395355,0.5,1.0987457513809205
23,0.8999999761581421,0.9602451324462891,0.2661321943625808,0.3499999940395355,0.5,1.0884117245674134
24,0.887499988079071,0.9617383480072021,0.25712179448455574,0.3499999940395355,0.6181318759918213,1.0033895134925843
